Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj1_Feat12,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Obj2_Feat12,Collision,pred
1,1,3,0,2,5,A,92.41325513659888,64.183418574851,D,0,A,1,0,5,1,5,1,B,51.27216522086728,72.0544353846337,B,1,A,Нет,0
0,0,2,1,1,3,B,44.36114096485291,5.494616866032109,A,1,B,1,1,4,0,5,3,C,78.23831336477816,47.56619345506304,C,1,B,Нет,0
0,0,4,0,2,5,D,11.656091332682315,76.78349769219342,B,1,A,1,0,1,0,1,3,C,37.28159264437214,75.74174402792329,A,0,B,Нет,0
1,0,2,1,1,2,B,66.9942457953359,39.27006169855438,B,1,C,0,1,1,0,2,4,D,46.30976885243431,51.472113510506304,D,0,A,Нет,0
0,0,5,1,2,3,C,23.29963333388463,44.24645568970662,D,1,D,1,1,1,0,2,1,A,91.95132013200754,33.17006540818289,A,0,C,Нет,0
0,0,2,1,4,1,C,1.3585713751073536,42.41393967220234,D,1,C,0,1,1,0,3,3,A,57.17316965815707,69.38946265272874,C,1,B,Нет,0
0,1,1,1,3,1,A,5.503487783748473,29.10036633687737,B,0,B,0,0,3,0,3,3,C,27.271237282519834,9.138105980949373,A,1,D,Нет,0
1,0,4,1,3,1,A,77.58994937810077,88.88055133783328,C,0,C,0,1,4,0,3,2,B,64.62899437527554,70.91262090348819,D,0,D,Нет,0
1,0,5,0,5,4,C,89.95557395588808,86.79288534310396,C,1,C,1,1,2,1,3,3,A,22.0308906919346,88.30339140611703,D,1,C,Нет,0
1,1,4,1,3,4,A,47.01324848692173,35.74058623302353,D,0,D,0,0,1,0,2,3,B,77.44548971563572,54.00373855872576,B,1,A,Нет,0
0,1,4,1,5,1,C,21.46424763974885,56.214891028469815,C,0,B,0,1,1,0,1,2,D,46.66386210579556,14.01698801836978,B,0,B,Нет,0
1,1,4,1,4,2,A,67.12013881192664,90.7082872448766,B,0,C,1,1,3,1,5,5,A,58.81082675192451,19.40065042372987,D,1,B,Нет,0
1,0,3,1,1,2,A,37.56679151160086,51.987104118812255,D,0,A,1,0,2,1,4,5,C,32.433414938106054,96.05350659637286,D,0,A,Да,0
0,1,2,1,4,5,A,14.090223746588048,7.181017216593999,B,0,D,1,1,2,0,5,1,C,67.46991122557165,58.37455742503378,B,1,D,Нет,0
0,1,2,1,1,3,A,4.778968230396274,95.13684778843071,A,0,C,1,1,2,1,1,4,C,98.7633546305753,86.84662160025647,D,0,A,Нет,0
1,0,4,0,3,4,D,7.907326217722799,26.098745685282037,B,0,A,0,0,2,1,1,2,D,63.54097354312383,48.94305697792195,A,1,C,Нет,0
0,0,3,1,3,1,B,12.095512362642802,83.98309466143891,C,0,C,0,1,5,0,4,2,B,29.893551437929165,47.634047793191215,C,0,D,Нет,0
0,1,2,1,3,5,D,22.97931429810963,94.88103836807782,B,0,C,0,0,2,0,2,5,D,18.579463178969224,99.88256865489508,C,0,C,Да,0
0,1,5,1,3,1,D,55.29826693373116,62.82759150302397,A,1,D,1,1,3,0,3,2,C,59.55565686931607,56.343185466398296,B,1,A,Нет,0
0,0,3,0,5,5,B,97.89290282574504,74.18377435773377,C,0,A,1,0,4,0,1,5,B,86.69853711967657,43.47067191998578,B,1,B,Нет,0
0,1,4,0,2,1,B,84.33567412620539,53.0362881194492,C,0,C,1,1,4,0,3,3,B,75.08423234860177,7.184034665752181,C,0,A,Да,0
1,0,4,1,3,4,B,3.67804445899218,96.75941058561534,A,1,A,0,0,3,0,3,4,D,60.03535552773217,73.04246528122171,A,0,A,Нет,0
0,1,1,0,3,2,D,34.65846501066139,30.07708970733589,D,0,B,0,1,5,0,1,2,A,3.3016224591827403,19.05103659777937,A,0,D,Нет,0
1,1,1,0,5,4,C,84.61612219621676,76.73186430419646,D,0,C,0,1,5,1,4,5,A,76.46517342253897,32.40913739386496,B,1,C,Нет,0
1,0,4,1,1,1,D,69.97820821534995,45.12426172606821,A,0,D,1,0,4,0,2,3,B,21.16595209749244,59.376659988708,B,0,A,Нет,0
0,0,2,1,4,2,A,41.89083766427131,56.54502628606494,A,0,A,0,0,5,0,1,4,D,50.3107716933636,66.9683775052286,A,0,A,Нет,0
0,0,4,0,4,4,D,97.13462008875982,2.19385782965994,B,0,B,0,0,3,0,4,5,A,13.565823390015952,26.20165847910455,A,0,C,Нет,0
0,0,4,0,4,1,B,26.61632863161049,58.03173457203159,A,0,C,1,0,4,1,1,3,D,44.14449742733577,65.2870112706855,B,1,B,Нет,0
1,0,3,0,1,4,B,85.9844996656949,75.83683413965562,C,0,B,1,1,3,1,2,4,B,81.2683424329954,60.30483957507188,D,0,C,Нет,0
1,0,4,1,2,1,B,37.63892392418039,22.03121570217828,A,0,A,0,0,1,0,4,5,B,27.54437650824676,47.17028952596269,A,0,D,Нет,0
1,0,5,1,1,5,A,12.493009032158389,39.75191717829587,C,1,B,1,1,2,0,5,4,B,94.3724800146556,98.92305587126344,B,1,C,Нет,0
1,0,1,0,4,1,A,49.95118438776802,3.475433032605968,B,1,D,1,1,2,0,4,5,B,11.17495040222064,16.66117991370204,A,1,A,Нет,0
0,0,3,0,5,5,A,32.36018057628356,56.23821959304601,A,0,A,0,0,5,0,3,1,D,50.07188111777352,24.475827978505915,A,1,C,Нет,0
0,0,5,0,2,2,C,35.241222810942084,18.8150729832668,D,0,D,1,1,4,1,5,1,A,29.591369596808548,64.370319831201,B,0,A,Нет,0
1,0,1,0,2,2,B,6.943953255904722,41.19852616092786,D,1,C,1,0,3,1,5,2,A,90.44571584827077,36.82468575148168,D,0,C,Нет,0
0,0,3,0,5,5,C,6.1875011463845215,33.57455923872015,B,0,A,1,0,4,0,4,2,A,67.4963005759297,37.33254628840263,A,1,C,Нет,0
0,0,1,1,3,2,A,55.74268091946979,31.45165134355834,D,0,C,1,0,2,0,4,3,C,66.8474691193961,98.664813563935,D,1,D,Нет,0
0,1,5,1,4,2,B,92.2783705733483,9.958069571466488,C,0,C,0,1,1,1,5,2,B,22.44488249605876,57.4281097563796,C,0,D,Да,0
1,0,3,0,2,3,A,4.667617974020654,57.20764363617597,B,0,B,1,0,1,1,3,1,B,64.77630471709635,68.71844336583001,B,0,B,Нет,0
1,0,5,0,2,4,C,2.031979349727031,93.29125241892456,A,1,A,1,1,2,0,1,4,B,64.78989759334873,79.38426854748238,D,0,B,Нет,0
0,1,3,0,4,3,A,62.31654936108904,17.300452713308832,B,1,A,1,0,1,1,4,2,A,65.80785379779013,20.05393213784069,C,0,B,Нет,0
0,1,2,0,4,2,B,43.40738294564224,20.53783709368933,B,1,A,1,1,4,1,1,4,A,20.35933232556332,77.99005928091286,C,1,C,Нет,0
0,1,1,1,4,5,D,52.47910029740355,8.393817746865517,C,0,D,0,1,1,1,5,1,A,14.122711290859112,17.536481032179086,A,1,D,Нет,0
1,1,1,1,2,1,A,47.24521488741515,8.412214584272249,A,1,A,0,0,2,1,1,3,D,20.47418444159348,91.33668763952936,B,0,C,Нет,0
0,0,1,1,4,3,D,35.62633612558488,63.22770349237873,C,0,B,1,1,5,1,2,1,A,91.03622375043288,4.607172076981225,C,0,C,Нет,0
0,0,3,1,3,2,A,64.98029081329068,41.54889875568992,C,0,D,1,1,2,1,5,2,B,91.0635998737938,48.93020214130805,C,1,A,Нет,0
1,0,3,0,4,5,C,26.747437483957317,64.00528638928019,A,1,B,0,1,4,1,2,4,C,71.0345268138578,84.75256816381568,C,1,D,Нет,0
1,0,1,0,4,4,A,65.24833482933215,41.21733533438614,A,0,B,0,1,2,1,5,3,C,92.60954673718096,50.18652997617947,D,0,C,Нет,0
1,1,5,1,1,4,C,57.03124495241176,64.53359510728156,A,1,D,0,1,5,0,2,4,A,72.44316475191228,1.8846232414893804,D,0,D,Нет,0
0,1,1,1,5,1,C,57.62693620986117,30.805414839639177,B,0,A,1,1,3,1,3,2,D,79.26481724855986,72.61099007739233,B,0,D,Нет,0
0,0,1,1,1,5,D,77.93768152574204,10.199691074245054,A,1,A,0,1,4,1,5,5,A,81.23628378589264,88.96772836863362,B,0,D,Нет,0
1,0,1,0,2,3,D,82.93780242545007,22.185828108727577,A,0,D,1,0,3,1,4,4,C,55.96269795812364,91.76771019221972,C,1,B,Нет,0
1,0,3,0,3,3,B,36.25514166831248,53.33769262427796,A,0,B,0,1,4,0,5,4,A,11.047448374042157,2.6399744439043027,D,0,B,Нет,0
0,0,5,1,3,4,D,11.372662010793675,4.3472436513456,A,0,A,0,1,4,0,3,1,B,45.7250936251129,34.06649165723684,C,1,B,Нет,0
0,1,3,0,5,1,B,60.12657316589899,69.66954320713178,A,1,A,0,0,1,0,1,4,A,79.78555849508885,17.57267983750306,D,1,D,Нет,0
1,1,5,1,5,5,D,76.36484688031925,7.503309018965066,A,1,B,0,0,1,0,1,3,B,23.222249365448235,29.450792182560114,A,1,D,Нет,0
0,0,1,1,4,1,B,57.28779276018872,87.01139781473557,D,1,A,0,1,4,1,1,1,B,4.079954879304215,42.15210168246395,A,1,D,Нет,0
0,1,3,0,4,3,A,67.15036759286906,55.6910669090818,D,0,C,0,1,4,0,3,3,A,25.751349617719036,41.86749114427586,C,0,A,Да,0
0,1,1,0,2,4,A,9.074132449611415,84.30813384124268,A,0,D,0,1,5,0,1,5,B,22.420597744730557,53.711619095566334,D,0,A,Нет,0
1,1,4,1,1,2,C,3.165779369260202,83.66573157049484,D,0,B,0,1,5,1,3,1,A,54.66579863261172,13.59610758845723,A,1,D,Нет,0
1,0,4,0,1,2,C,38.55057471369536,60.434641510374654,C,0,C,0,0,3,0,5,4,B,40.7404214982473,75.01042850454279,D,1,B,Нет,0
0,0,4,0,3,4,D,60.22527626237378,19.572840895146005,B,0,D,0,0,3,0,1,2,C,57.57021611714242,62.35805281956729,C,1,A,Нет,0
0,0,3,0,5,4,B,29.081949004562706,34.96163038304392,A,0,A,0,1,1,1,5,3,A,67.25633747371984,52.79600564275314,B,0,B,Нет,0
1,0,1,1,4,4,D,78.54567500237034,34.11800862942729,D,0,A,1,0,4,1,4,4,C,65.81985165870707,83.04730744314493,D,0,A,Да,0
1,1,4,0,3,5,B,55.974966717124985,75.71097307449833,C,1,C,0,0,4,0,5,3,B,32.40400141817822,38.15373610596382,B,1,D,Нет,0
0,1,2,1,5,2,C,83.45711538204937,97.32863014118658,B,1,B,0,1,2,0,5,2,C,35.511459811131864,71.6960153491302,A,0,B,Да,0
1,1,3,0,1,3,B,83.30353296580255,93.62115170864269,A,1,D,1,0,4,0,3,2,A,29.459254036952608,92.7955400774956,B,0,B,Нет,0
0,0,2,1,5,1,B,64.32037674884499,93.72600846098852,D,1,D,1,1,2,0,3,1,A,83.02001974189804,42.3504727797244,D,0,B,Нет,0
0,0,2,0,2,1,D,2.492101720269302,2.028638895045676,B,0,D,1,0,2,1,2,5,B,38.7794238470754,98.82003666496216,B,0,A,Нет,0
1,0,3,1,2,2,D,76.65903998789832,1.7269020086839393,D,1,C,0,1,4,1,4,3,C,9.116225198755757,36.26421673987081,D,0,D,Нет,0
0,1,2,0,4,4,D,17.88237196445248,18.99034410317524,D,0,B,0,1,1,0,5,4,A,59.83209875666648,65.82650801898616,D,0,A,Да,0
0,0,5,1,1,2,D,7.073622366507559,38.24425816770278,D,1,A,1,1,1,0,4,3,A,35.436764580859304,66.9536990042064,B,1,C,Нет,0
0,0,5,1,2,2,C,96.41681069711817,64.54572934242844,C,1,D,1,0,4,0,1,2,B,11.427272908448304,21.30281295997275,D,1,A,Нет,0
1,0,1,0,4,3,B,75.80967469827094,81.36711823882213,B,0,D,1,1,4,1,1,3,A,81.47672569645218,95.4429985134711,D,1,C,Нет,0
1,0,2,1,1,2,A,61.35932842130462,96.69725282202984,C,1,A,0,0,2,0,1,4,D,60.37454675741145,64.78046116618037,D,1,D,Нет,0
1,1,5,0,2,4,A,58.98662931207031,51.62168780653851,A,0,B,1,0,3,0,5,5,C,90.64784510887704,32.778165779609346,A,0,D,Нет,0
0,1,5,1,1,1,D,36.93218454589672,53.43250457726189,B,1,C,0,0,4,1,1,3,C,98.0355361755712,49.0587846474854,A,1,A,Нет,0
1,1,5,1,4,2,C,7.655197038189366,92.95141918945411,A,0,A,1,1,1,0,3,2,C,81.38910319234304,11.78305100727288,D,0,A,Да,0
1,0,2,0,1,4,C,42.47846758958368,88.44326611950973,D,0,B,1,0,4,0,1,2,D,16.276159333403694,23.899875422506263,C,0,C,Нет,0
0,0,4,1,1,1,D,29.795495967151098,96.0669351866452,A,1,B,0,0,4,0,1,2,A,96.86384517615346,47.355555759650805,B,1,B,Да,0
1,0,4,1,5,4,D,15.864028571763644,86.5119988492005,D,0,B,1,0,2,1,4,5,B,65.13961896673315,21.23639620080285,A,0,B,Нет,0
0,1,3,0,4,5,A,76.91457630216871,64.9318952204369,C,0,A,1,1,2,0,1,1,C,50.92460518931545,25.74796820548636,B,1,A,Нет,0
0,1,3,1,3,2,D,62.69502515265552,22.05164603211057,B,0,D,0,1,4,0,2,4,D,36.20119129735977,92.93375369816592,B,1,C,Нет,0
0,1,2,0,4,1,A,74.2405658817805,51.35825444604948,A,0,C,0,1,4,0,1,4,C,11.656602961317365,90.64133645816928,C,0,A,Нет,0
1,1,1,1,1,3,B,53.51311951290704,92.89751815283677,B,0,C,0,1,2,0,3,5,C,19.06048938391742,63.2279718409832,D,1,C,Нет,0
1,0,3,0,1,5,A,68.225074781176,41.24640441542282,B,0,A,1,0,5,0,4,3,A,65.02694981131876,84.10142283088616,B,0,A,Да,0
1,0,3,0,1,3,A,73.30638532865709,16.32698451521719,C,0,C,1,1,5,1,4,4,C,78.79270557846782,6.637088338515696,B,0,A,Нет,0
1,1,1,0,3,5,B,9.018564175550104,11.62925818526086,B,1,C,0,1,1,0,1,1,D,56.7470284438196,91.5638660534725,C,1,B,Нет,0
0,1,1,0,4,3,C,28.56582157963573,80.32746512299843,B,1,D,0,0,2,0,1,5,A,36.85914130000292,64.43055062879567,C,0,B,Нет,0
0,0,3,1,2,3,D,13.968091414958096,22.610590152648445,B,1,A,1,0,1,1,2,3,A,51.63118376458156,40.723531728524655,D,0,C,Нет,0
1,0,3,0,2,3,B,69.74246984607618,91.1752664596004,A,1,C,1,1,3,0,3,5,B,86.70718756388239,43.03371913373682,C,0,A,Нет,0
1,0,5,0,3,5,A,99.04686580375213,57.0440542376803,B,0,B,0,1,4,1,2,1,A,25.048269978423534,65.22959987266988,D,0,C,Нет,0
1,0,1,0,1,4,B,88.38459433678122,76.82868973660592,A,1,D,0,1,5,1,5,1,A,0.5121730396228208,44.63384582296297,B,1,D,Нет,0
1,1,2,1,5,5,B,58.96446824925678,60.71960929616892,A,1,D,1,0,1,0,5,3,D,77.68949794958556,38.6638172247451,A,0,B,Нет,0
1,0,2,0,4,3,A,98.07006830745316,19.629282995271325,A,1,A,1,0,1,1,1,5,B,54.9005343639129,61.197171001378656,B,0,D,Нет,0
1,1,3,0,2,1,D,93.44185481042908,87.33528316664564,A,0,C,1,0,5,1,1,2,A,40.47137202877794,16.42555819225914,D,0,B,Нет,0
1,0,1,0,5,1,C,18.52724614788682,44.33610134320398,D,1,D,1,1,1,1,2,3,B,42.267508985350666,15.016312344885051,D,1,D,Нет,0
1,0,3,1,4,2,D,12.588564773998678,66.88126118586555,A,1,D,0,0,1,1,1,3,B,94.03967431039668,29.79816012450433,D,0,B,Нет,0
1,1,3,1,3,1,B,30.414293910708512,94.48739436260789,C,1,D,0,1,2,1,4,4,D,21.19441112173115,94.51705492390158,C,1,D,Нет,0
1,0,4,0,5,4,C,5.665439506780601,56.59828565288365,B,0,D,1,0,3,0,5,3,D,48.548469134110114,58.27313241559424,C,0,B,Нет,0
0,1,1,1,4,2,C,48.4401296527225,94.11892095624756,B,1,C,0,0,1,0,4,4,D,43.717424037732336,78.28215691757177,C,1,B,Нет,0
0,0,5,0,2,4,D,26.04957280357634,25.59964374126562,C,1,A,1,1,4,0,1,5,B,97.03868778394954,29.98219172863529,C,0,B,Нет,0
1,0,3,0,1,5,C,44.21836016032713,16.52122293967162,B,0,B,0,1,5,1,5,1,B,98.41801423183904,6.09693170200869,A,0,B,Нет,0
0,1,5,0,2,4,D,51.34114600576001,56.44639097701207,B,0,D,0,0,3,1,5,5,B,41.97345856388023,54.871674845760296,A,0,A,Нет,0
1,0,5,1,2,5,C,53.13265899599472,14.544023749990664,C,1,B,0,0,1,0,5,2,B,22.338207529974557,26.51286100055673,B,0,B,Нет,0
0,1,1,0,1,1,C,75.7541153266486,37.89128416654086,A,1,C,1,0,3,1,4,3,A,68.93229559841167,84.5665532919687,C,1,A,Нет,0
1,0,3,0,2,4,C,45.09719095767844,33.979708953163055,C,1,A,1,0,5,1,2,2,C,68.3472033971413,78.14951632180389,A,0,D,Нет,0
0,0,5,1,2,4,A,63.16053317452253,31.579068151864043,B,0,D,1,1,5,1,5,2,D,24.548022413014596,63.0303313411052,A,1,B,Нет,0
0,1,1,0,2,4,D,92.01841143947016,0.603868134045471,A,0,A,1,0,1,0,5,1,B,14.135627146418717,82.99430264124723,A,0,D,Нет,0
0,0,1,1,3,1,D,23.08679743254085,20.32384204664033,C,1,D,1,1,1,1,2,1,D,87.60734859918124,63.57456576797578,C,1,C,Да,0
1,0,3,0,4,5,D,65.9605934990879,0.5201918991504795,D,0,A,1,1,2,0,5,4,C,95.14769916520002,35.359396946218816,D,0,C,Нет,0
1,0,2,1,2,2,C,4.246268309197598,54.35773989665441,B,0,B,1,0,3,0,5,5,D,57.03601313687008,68.50317543286862,B,1,D,Нет,0
1,0,1,0,5,4,A,97.26209460301116,50.69310049623114,D,1,A,0,0,2,0,2,3,A,68.29285175984909,14.77872650156067,D,1,B,Нет,0
1,0,3,0,5,5,A,91.6297020069829,89.71462099937808,A,0,C,1,1,4,1,3,4,A,80.18859073658953,54.6744429951673,C,1,D,Нет,0
0,0,4,0,2,1,B,96.529059565103,37.39728452023109,A,0,B,1,1,2,1,1,2,A,4.607506372912673,81.98719798777148,D,0,C,Нет,0
0,0,5,1,4,1,C,98.08029311976992,17.245471385734255,D,1,D,1,1,5,0,4,3,B,69.94699629859842,27.6940567256008,B,0,B,Нет,0
1,0,1,0,1,1,C,8.117266965255576,35.087259073246415,B,1,C,0,1,5,0,5,2,D,90.45437267782958,59.38212732233493,B,1,B,Нет,0
0,1,5,0,1,4,C,36.38714358194297,46.353873126479726,B,1,C,1,0,3,1,2,4,A,66.14977425905603,41.03338880157911,D,1,A,Нет,0
1,1,5,0,4,4,D,91.1605618442748,59.02491603415029,A,1,A,1,1,5,0,1,2,B,36.06818718460342,32.53838698100672,C,1,C,Нет,0
0,1,5,1,5,4,B,96.33584586278069,92.75233031715128,D,1,B,0,1,3,0,4,4,A,36.66206688031293,50.10373134398533,C,0,A,Нет,0
0,0,5,0,3,5,B,40.85852753857439,0.0672560707553837,D,0,A,1,1,1,1,5,4,A,69.33969343851348,73.7643991690054,A,1,C,Нет,0
1,1,3,0,5,4,A,31.52402202691542,60.55538257545342,C,0,A,1,1,3,0,4,2,D,52.60904647556157,10.753876817037757,A,1,B,Нет,0
0,1,4,0,4,3,C,79.17287425772928,90.81768190148075,B,1,D,1,1,4,0,5,5,D,89.59325797463035,64.79807622843356,C,0,D,Нет,0
1,0,1,0,5,2,A,76.01688089166743,17.597254171103305,B,1,B,1,0,3,0,2,2,A,56.82910546578807,19.472289659104657,C,0,C,Нет,0
1,1,2,0,3,5,B,7.095218090553502,52.67483489607287,C,1,A,1,0,2,1,4,1,D,31.09742260409777,20.92196770588341,C,0,D,Нет,0
0,0,4,1,4,3,B,99.9486305725678,43.26539075356768,C,0,D,0,1,4,1,5,4,D,13.977370498527977,48.49298925830507,B,1,C,Нет,0
0,0,4,1,3,5,A,92.3539280100406,41.01822559446604,C,0,A,0,0,2,0,2,1,A,62.01890405790671,32.35480189897686,C,0,D,Нет,0
1,1,4,1,3,4,A,82.60108120664464,69.85019313074092,C,1,B,0,0,5,0,2,4,C,11.419842634778645,56.34148646231117,C,1,A,Нет,0
1,0,5,0,4,2,B,16.394542581056825,16.795480985802346,C,0,B,0,0,4,0,3,1,A,2.075110599561758,28.051230407344928,C,0,A,Нет,0
0,1,3,0,4,3,A,63.68744479571138,38.42526652878377,C,1,D,0,1,3,0,2,5,B,40.442948134334976,69.1473767300067,B,1,D,Да,0
1,1,1,1,1,1,D,87.08965376572236,17.586784271327616,A,1,B,0,0,3,1,1,4,A,54.35723403956118,58.85166044945414,B,0,C,Нет,0
0,1,4,1,1,5,C,91.08153022941426,21.46819193786001,A,1,B,1,1,1,1,5,3,C,43.08610534154301,19.49189881823152,C,0,D,Нет,0
1,0,2,0,2,5,B,16.9326402648553,91.69799331235689,C,0,C,1,1,3,0,4,4,B,69.91654797367437,82.18547105746472,B,1,D,Нет,0
0,1,5,0,4,4,A,40.10050953581794,14.716171423925106,C,0,D,1,1,4,1,3,3,C,27.361010113006945,74.46295706032625,A,0,D,Нет,0
1,1,4,0,5,4,C,43.35404310170038,78.31414641214779,C,0,C,1,0,3,0,2,1,C,28.37468500047321,2.06221774600871,A,1,D,Нет,0
1,1,4,1,1,3,A,12.362972856350796,51.508993574014696,C,1,C,0,0,2,0,3,3,C,47.39905931440156,40.18567620521848,D,1,D,Нет,0
1,1,5,0,1,3,C,70.02013739751105,30.770786414952344,B,1,B,1,1,2,1,5,1,A,56.38925449670216,88.82046227633003,C,1,D,Нет,0
1,1,1,1,4,2,B,68.95092866088399,66.72369209354066,A,1,A,0,1,1,0,4,4,B,39.27249895878283,99.54484007750769,B,1,D,Нет,0
0,0,4,1,4,5,A,22.575922264764117,27.79127441315473,D,1,D,0,0,1,1,1,3,D,0.9538120897784164,57.95150411657816,B,1,D,Нет,0
0,1,1,0,1,4,D,78.9669503829707,53.33728694977237,D,1,D,1,0,5,0,4,1,A,55.25310461005769,47.76343199671121,D,1,A,Нет,0
1,1,2,1,5,4,B,34.02601261376583,44.17169140049283,D,0,A,1,0,5,0,5,5,B,80.53668606916452,41.08457775264181,C,1,C,Нет,0
1,0,3,0,1,1,D,21.436152967200574,12.044295532311612,B,1,B,1,1,1,0,5,1,B,95.23693398590112,73.77701063955455,D,1,A,Нет,0
1,0,1,1,1,1,A,83.56879225796803,82.41044645627011,C,0,A,1,0,2,1,5,4,D,0.4547694699414295,95.16257306303316,B,0,B,Нет,0
0,0,1,0,1,2,D,30.123351175138925,94.75817603206796,A,0,A,0,0,2,1,3,2,C,20.85037828063424,70.69569761562721,A,1,D,Нет,0
0,0,2,0,1,5,D,68.04761360007751,12.23118352784035,D,1,D,0,1,4,1,3,1,D,71.51103454117307,82.05557472862267,B,0,B,Нет,0
